No.;APIs;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
1;:ref:`Init<api-init>`;Initialize the Camera Remote SDK for use.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
2;:ref:`Release<api-release>`;Terminate the Camera Remote SDK.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
3;:ref:`GetSDKVersion<api-get-sdk-version>`;Get SDK version number.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
4;:ref:`GetSDKSerial<api-get-sdk-serial>`;Get SDK serial number.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
5;:ref:`EditSDKInfo<api-edit-sdk-info>`;Edit the information about the SDK stored in the config file.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
6;:ref:`EnumCameraObjects<api-enum-camera-objects>`;Make a list of corresponding camera for the Camera Remote SDK.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
7;:ref:`CreateCameraObjectInfo<api-create-camera-object-info>`;Create an ICrCameraObjectInfo object represents a Camera.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
8;:ref:`CreateCameraObjectInfoUSBConnection<api-create-camera-object-info-usb-connection>`;Create an ICrCameraObjectInfo object that represents a camera to be connecting via USB.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
9;:ref:`CreateCameraObjectInfoEthernetConnection<api-create-camera-object-info-ethernet-connection>`;Create an ICrCameraObjectInfo object that represents a camera to be connecting via Ethernet.;R/C/T;✔;✔;✔;✔;✔;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
10;:ref:`GetFingerprint<api-get-fingerprint>`;Get the fingerprint of the camera to connect with SSH authentication.;R/C/T;✔;✔;✔;✔;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
11;:ref:`Connect<api-connect>`;Connect to a Camera using a ICrCameraObjectInfo object before manipulation.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
12;:ref:`Disconnect<api-disconnect>`;Disconnect from the Camera after use.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
13;:ref:`ReleaseDevice<api-release-device>`;Remove resources allocated with the Connect function.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
